# Validacion de Hipótesis (Born)
# Parametros: N_waves=1000000, Sigma=0.05, Lambda0=0.0, Seed=12345
# Metricas: MAE=2.173564e-05, R2=1.00000000
# Alpha_Rad,Intensity_Sim,Malus_Theoretical
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.750190928578376770e-02,9.996925592422485352e-01,9.996936321258544922e-01
3.500381857156753540e-02,9.987728595733642578e-01,9.987752437591552734e-01
5.250572785735130310e-02,9.972422122955322266e-01,9.972456693649291992e-01
7.000763714313507080e-02,9.951021671295166016e-01,9.951069951057434082e-01
8.750954270362854004e-02,9.923558831214904785e-01,9.923616647720336914e-01
1.050114557147026062e-01,9.890060424804687500e-01,9.890130162239074707e-01
1.225133612751960754e-01,9.850572943687438965e-01,9.850654006004333496e-01
1.400152742862701416e-01,9.805141091346740723e-01,9.805235266685485840e-01
1.575171798467636108e-01,9.753823876380920410e-01,9.753928780555725098e-01
1.750190854072570801e-01,9.696681499481201172e-01,9.696797728538513184e-01
1.925209909677505493e-01,9.633786678314208984e-01,9.633913040161132812e-01
2.100229114294052124e-01,9.565213322639465332e-01,9.565351605415344238e-01
2.275248169898986816e-01,9.491045475006103516e-01,9.491196870803833008e-01
2.450267225503921509e-01,9.411378502845764160e-01,9.411538839340209961e-01
2.625286281108856201e-01,9.326306581497192383e-01,9.326475858688354492e-01
2.800305485725402832e-01,9.235932230949401855e-01,9.236113429069519043e-01
2.975324392318725586e-01,9.140369892120361328e-01,9.140560626983642578e-01
3.150343596935272217e-01,9.039734005928039551e-01,9.039935469627380371e-01
3.325362801551818848e-01,8.934150338172912598e-01,8.934360146522521973e-01
3.500381708145141602e-01,8.823745250701904297e-01,8.823964595794677734e-01
3.675400912761688232e-01,8.708659410476684570e-01,8.708884716033935547e-01
3.850419819355010986e-01,8.589023351669311523e-01,8.589261174201965332e-01
4.025439023971557617e-01,8.464993834495544434e-01,8.465239405632019043e-01
4.200458228588104248e-01,8.336718082427978516e-01,8.336973190307617188e-01
4.375477135181427002e-01,8.204355835914611816e-01,8.204618692398071289e-01
4.550496339797973633e-01,8.068068027496337891e-01,8.068336248397827148e-01
4.725515544414520264e-01,7.928020358085632324e-01,7.928296327590942383e-01
4.900534451007843018e-01,7.784385681152343750e-01,7.784668803215026855e-01
5.075553655624389648e-01,7.637337446212768555e-01,7.637630105018615723e-01
5.250572562217712402e-01,7.487062215805053711e-01,7.487358450889587402e-01
5.425592064857482910e-01,7.333739399909973145e-01,7.334040403366088867e-01
5.600610971450805664e-01,7.177556157112121582e-01,7.177861928939819336e-01
5.775629878044128418e-01,7.018705606460571289e-01,7.019016742706298828e-01
5.950648784637451172e-01,6.857380867004394531e-01,6.857696771621704102e-01
6.125668287277221680e-01,6.693780422210693359e-01,6.694100499153137207e-01
