# paper: Validacion Bell-CHSH
# Pares=10000000, Puntos_Int=2000, Seed=42
# S_result=-2.82811, Error_Tsirelson=0.0111%
theta_deg,E_sim,E_teo
0.0,-1.0,-1.0
10.0,-0.9394586000000003,-0.9396926207859084
20.0,-0.7661457999999999,-0.766044443118978
30.0,-0.49994739999999993,-0.5000000000000001
40.0,-0.173517,-0.17364817766693041
50.0,0.17366799999999993,0.1736481776669303
60.0,0.49987780000000015,0.4999999999999998
70.0,0.7661040000000002,0.7660444431189779
80.0,0.9396914,0.9396926207859083
90.0,1.0,1.0
100.0,0.9395976000000004,0.9396926207859084
110.0,0.7663997999999996,0.766044443118978
120.0,0.4999549999999997,0.5000000000000004
130.0,0.1738952,0.17364817766693033
140.0,-0.17353439999999998,-0.17364817766692997
150.0,-0.5000785999999998,-0.5000000000000001
160.0,-0.7664510000000001,-0.7660444431189778
170.0,-0.9394647999999997,-0.9396926207859084
180.0,-1.0,-1.0
190.0,-0.9396462000000001,-0.9396926207859083
200.0,-0.7654108000000001,-0.7660444431189781
210.0,-0.5000750000000002,-0.4999999999999997
220.0,-0.17325680000000002,-0.17364817766693044
230.0,0.17365939999999994,0.17364817766692986
240.0,0.5001527999999998,0.4999999999999992
250.0,0.7659997999999996,0.7660444431189783
260.0,0.9398767999999998,0.9396926207859084
270.0,1.0,1.0
280.0,0.9395537999999999,0.9396926207859086
290.0,0.7659877999999997,0.7660444431189777
300.0,0.5000433999999999,0.49999999999999983
310.0,0.17406920000000006,0.17364817766693058
320.0,-0.1730250000000001,-0.17364817766692972
330.0,-0.5001958,-0.4999999999999991
340.0,-0.7655505999999999,-0.7660444431189782
350.0,-0.9397267999999999,-0.9396926207859083
360.0,-1.0,-1.0
