time,sigma_sim,sigma_theo
0.0,1.4142135381698608,2.0
0.5,1.4252173900604248,2.003902442735175
1.0,1.4577341079711914,2.0155644370746373
1.5,1.5103747844696045,2.0348525745124633
2.0,1.5811307430267334,2.0615528128088303
2.5,1.6676973104476929,2.0953818267800264
3.0,1.7677536010742188,2.1360009363293826
3.5,1.8791453838348389,2.1830311495716224
4.0,1.999979853630066,2.23606797749979
4.5,2.1286494731903076,2.2946949688357274
5.0,2.2638182640075684,2.358495283014151
5.5,2.404390573501587,2.42706097986845
6.0,2.5494725704193115,2.5
6.5,2.6983368396759033,2.576941016011038
7.0,2.850390672683716,2.6575364531836625
7.5,3.005150079727173,2.7414640249326636
8.0,3.162217617034912,2.8284271247461903
8.5,3.321265935897827,2.918154382482188
9.0,3.482023239135742,3.010398644698074
9.5,3.644263744354248,3.1049355870935553
10.0,3.80779767036438,3.2015621187164243
10.5,3.9724655151367188,3.3000946956110213
11.0,4.138131141662598,3.400367627183861
11.5,4.304679870605469,3.502231431530475
12.0,4.472012996673584,3.605551275463989
12.5,4.640045642852783,3.7102055199139574
13.0,4.808703899383545,3.816084380618437
13.5,4.977924823760986,3.923088706618804
14.0,5.147652626037598,4.031128874149275
14.5,5.317838668823242,4.140123790419799
15.0,5.48844051361084,4.25
15.5,5.659420490264893,4.360690885628102
16.0,5.830744743347168,4.47213595499958
16.5,6.002384662628174,4.584280205223062
17.0,6.174313545227051,4.697073557013984
17.5,6.346507549285889,4.810470351223464
18.0,6.518945693969727,4.924428900898052
18.5,6.6916093826293945,5.038911092686593
19.0,6.864480972290039,5.153882032022076
19.5,7.037546157836914,5.269309727089498
